序號,縣市,業者,品項,批號,有效日期,備註
47,臺北市,故宮晶華股份有限公司,益康大豆沙拉油 18L,20270528000408,2027/5/28,延續前一列品項的批號/日期
47,臺北市,故宮晶華股份有限公司,益康大豆沙拉油18L,2.02704e+13,2027/4/15,原資料以科學記號紀載，無從判定油品序號
47,臺北市,故宮晶華股份有限公司,益康大豆沙拉油18L,20270521000408,2027/05/21,延續前一列品項的批號/日期
48,臺北市,紅蟹將軍火鍋店,福壽大豆沙拉油-3L,C1210426K,20270420,
48,臺北市,紅蟹將軍火鍋店,福壽大豆沙拉油-18L,C2230426O,20270422,
49,臺北市,桂莉香擔仔麵股份有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,資料列跨頁，序號/業者/品項由座標重組(請人工複核)
49,臺北市,桂莉香擔仔麵股份有限公司,福壽大豆沙拉油-18L,C2230426O,20270422,
50,臺北市,泰山企業股份有限公司,泰山花生風味調和油2L*6入,2027.11.27,2027/11/27,
51,臺北市,耘群有限公司,沙拉油 18Ｌ(福壽),C2210426O,2027.04.20,
51,臺北市,耘群有限公司,沙拉油 １８Ｌ,C2210526O,2027/05/20,
51,臺北市,耘群有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,延續前一列品項的批號/日期
51,臺北市,耘群有限公司,沙拉油 １８Ｌ,C2270526O,2027/05/26,延續前一列品項的批號/日期
51,臺北市,耘群有限公司,福壽大豆沙拉油-18L,C2200426O,20270419,
51,臺北市,耘群有限公司,福壽大豆沙拉油-18L,C2210426O,20270420,延續前一列品項的批號/日期
51,臺北市,耘群有限公司,福壽大豆沙拉油-18L,C2210526O,20270520,延續前一列品項的批號/日期
51,臺北市,耘群有限公司,福壽炸酥油 １８Ｌ,BL260526D,2027/05/25,
51,臺北市,耘群有限公司,福壽炸酥油-18L,BL170426D,20270416,
51,臺北市,耘群有限公司,福壽炸酥油-18L,BL200426D,20270419,延續前一列品項的批號/日期
52,臺北市,國防部福利事業管理處,沙拉油 18Ｌ(福壽),C2140426O,2027.04.13,
52,臺北市,國防部福利事業管理處,香油（全） ２００ｇP*20,BS030626H,2028/05/31,
52,臺北市,國防部福利事業管理處,福壽大豆沙拉油-3L(全),C1140426K,20270413,
52,臺北市,國防部福利事業管理處,福壽大豆沙拉油-18L,C2140426O,20270413,
52,臺北市,國防部福利事業管理處,福壽香油-200g,BS080526H,20280428,
52,臺北市,國防部福利事業管理處,福壽香油-200g,BS110526H,20280428,延續前一列品項的批號/日期
52,臺北市,國防部福利事業管理處,福壽頂級香油-500g,BL240426H,20280419,
52,臺北市,國防部福利事業管理處,福壽頂級香油-500g,BL280426H,20280419,延續前一列品項的批號/日期
53,臺北市,康達盛通生活事業股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10,
53,臺北市,康達盛通生活事業股份有限公司,益康大豆沙拉油 18L,20270528000408,2027/5/28,延續前一列品項的批號/日期
53,臺北市,康達盛通生活事業股份有限公司,益康大豆沙拉油18L,2.02704e+13,2027/4/15,原資料以科學記號紀載，無從判定油品序號
53,臺北市,康達盛通生活事業股份有限公司,益康大豆沙拉油(18L),20270420000408,2027/04/20,
54,臺北市,晨皓食品貿易有限公司,益康烹調油(調合油),20270414000403,2027.04.14,
55,臺北市,添好運-大直美麗華店,黃金優選大豆沙拉油-18L,20270415,20270415,
56,臺北市,添好運-天母高島屋店,黃金優選大豆沙拉油-18L,20270415,20270415,
57,臺北市,添好運-台北松山店,黃金優選大豆沙拉油-18L,20270415,20270415,
57,臺北市,添好運-台北松山店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
58,臺北市,添好運-台北信義店,黃金優選大豆沙拉油-18L,20270415,20270415,
59,臺北市,添好運-HOYII北車站店,黃金優選大豆沙拉油-18L,20270415,20270415,
60,臺北市,添好運南港三井店,黃金優選大豆沙拉油-18L,20270415,20270415,
60,臺北市,添好運南港三井店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
61,臺北市,添益行,福壽健味香油-3L,BL070526L,20280428,
62,臺北市,祥田實業有限公司,花生風味精華調合油-2L,BL100426F,20280108,
63,臺北市,許O芬,福壽好味香油-3L,BL190526L,20280428,
64,臺北市,陳O尹,福壽香油-3L,BS180526L,20280428,
65,臺北市,陳O添,益康大豆沙拉油(18L),20270413000408,2027/04/13,
66,臺北市,陳O鈞,福壽香油-3L,BS180526L,20280428,
66,臺北市,陳O鈞,福壽香油-3L,BS270426L,20280419,延續前一列品項的批號/日期
67,臺北市,頂好紫琳蒸餃館,好味香油 ３Ｌ(P*6),BL030626L,2028/05/19,
67,臺北市,頂好紫琳蒸餃館,香油－Ａ ３Ｌ,BS100626L,2028/06/03,
67,臺北市,頂好紫琳蒸餃館,福壽好味香油-3L,BL190526L,20280428,
67,臺北市,頂好紫琳蒸餃館,福壽炸酥油-18L,BL150526D,20270514,
67,臺北市,頂好紫琳蒸餃館,福壽香油-3L,BS180526L,20280428,
68,臺北市,富邦媒體科技股份有限公司,福壽大豆沙拉油-3L,C1210426K,20270420,
68,臺北市,富邦媒體科技股份有限公司,福壽好味香油-3L,BL300426L,20280419,
69,臺北市,富味鄉食品股份有限公司,散裝黃豆油(大豆油),313-1150408,2026/10/5,
69,臺北市,富味鄉食品股份有限公司,散裝黃豆油(大豆油),315-1150510,2026/11/6,延續前一列品項的批號/日期
70,臺北市,富暘食品有限公司,沙拉油 １８Ｌ,C2270526O,2027/05/26,
70,臺北市,富暘食品有限公司,香油－Ａ ３Ｌ,BS040626L,2028/05/31,
70,臺北市,富暘食品有限公司,香油－Ａ ３Ｌ,BS050626L,2028/06/03,延續前一列品項的批號/日期
70,臺北市,富暘食品有限公司,健味香油 3L,BL240426L,2028.04.19,
70,臺北市,富暘食品有限公司,福壽香油-3L,BS220426L,20280419,
70,臺北市,富暘食品有限公司,福壽香油-3L,BS270426L,20280419,延續前一列品項的批號/日期
70,臺北市,富暘食品有限公司,福壽健味香油-3L,BL240426L,20280419,
71,臺北市,惠倫食品有限公司,沙拉油 １８Ｌ,C2210526O,2027/05/20,
71,臺北市,惠倫食品有限公司,沙拉油 １８Ｌ,C2260526O,2027/05/25,延續前一列品項的批號/日期
71,臺北市,惠倫食品有限公司,福壽大豆沙拉油-18L,C2090426O,20270408,
71,臺北市,惠倫食品有限公司,福壽大豆沙拉油-18L,C2100426O,20270409,延續前一列品項的批號/日期
71,臺北市,惠倫食品有限公司,福壽大豆沙拉油-18L,C2210526O,20270520,延續前一列品項的批號/日期
71,臺北市,惠倫食品有限公司,福壽健味香油-3L,BL130426L,20280402,
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油 18KG,20270526000408,2027/5/26,
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10,
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油 18L,20270528000408,2027/5/28,延續前一列品項的批號/日期
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油18kg,2.02704e+13,2027/4/22,原資料以科學記號紀載，無從判定油品序號
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油18L,2.02704e+13,2027/4/15,原資料以科學記號紀載，無從判定油品序號
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油18L,20270521000408,2027/05/21,延續前一列品項的批號/日期
72,臺北市,晶華國際酒店股份有限公司,益康大豆沙拉油(18L),20270414000408,2027/04/14,
73,臺北市,湄河食品有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,
73,臺北市,湄河食品有限公司,福壽大豆沙拉油-18L,C2240426O,20270423,
74,臺北市,無限廚房股份有限公司,益康大豆沙拉油(18L),20270413000408,2027/04/13,
75,臺北市,貳虎-台北慶城店,油炸專用油-18L,2027.05.28,2027/5/28,
75,臺北市,貳虎-台北慶城店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
75,臺北市,貳虎-台北慶城店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
75,臺北市,貳虎-台北慶城店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
76,臺北市,貳虎-F104 中山南西店,油炸專用油-18L,2027.05.28,2027/5/28,資料列跨頁，序號/業者/品項由座標重組(請人工複核)
76,臺北市,貳虎-F104 中山南西店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
76,臺北市,貳虎-F104 中山南西店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
77,臺北市,貳虎永吉門店,油炸專用油-18L,2027.05.28,2027/5/28,
77,臺北市,貳虎永吉門店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
77,臺北市,貳虎永吉門店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
77,臺北市,貳虎永吉門店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
78,臺北市,貳樓-中山南西店,油炸專用油-18L,2027.05.28,2027/5/28,
78,臺北市,貳樓-中山南西店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
78,臺北市,貳樓-中山南西店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
78,臺北市,貳樓-中山南西店,黃金優選大豆沙拉油-18L,20270415,20270415,
79,臺北市,貳樓-台北仁愛店,油炸專用油-18L,2027.05.28,2027/5/28,
79,臺北市,貳樓-台北仁愛店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
79,臺北市,貳樓-台北仁愛店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
79,臺北市,貳樓-台北仁愛店,黃金優選大豆沙拉油-18L,20270415,20270415,
79,臺北市,貳樓-台北仁愛店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
80,臺北市,貳樓-台北公館店,油炸專用油-18L,2027.05.28,2027/5/28,
80,臺北市,貳樓-台北公館店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
80,臺北市,貳樓-台北公館店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
80,臺北市,貳樓-台北公館店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
80,臺北市,貳樓-台北公館店,黃金優選大豆沙拉油-18L,20270415,20270415,
80,臺北市,貳樓-台北公館店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
81,臺北市,貳樓-台北西湖店,油炸專用油-18L,2027.05.28,2027/5/28,
81,臺北市,貳樓-台北西湖店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
81,臺北市,貳樓-台北西湖店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
81,臺北市,貳樓-台北西湖店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
81,臺北市,貳樓-台北西湖店,黃金優選大豆沙拉油-18L,20270415,20270415,
82,臺北市,貳樓-台北南港店,油炸專用油-18L,2027.05.28,2027/5/28,
82,臺北市,貳樓-台北南港店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
82,臺北市,貳樓-台北南港店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
82,臺北市,貳樓-台北南港店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
82,臺北市,貳樓-台北南港店,黃金優選大豆沙拉油-18L,20270415,20270415,
83,臺北市,貳樓-台北敦南店,油炸專用油-18L,2027.05.28,2027/5/28,
83,臺北市,貳樓-台北敦南店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
83,臺北市,貳樓-台北敦南店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
83,臺北市,貳樓-台北敦南店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
83,臺北市,貳樓-台北敦南店,黃金優選大豆沙拉油-18L,20270415,20270415,
84,臺北市,貳樓-台北微風店,油炸專用油-18L,2027.05.28,2027/5/28,
84,臺北市,貳樓-台北微風店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
84,臺北市,貳樓-台北微風店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
84,臺北市,貳樓-台北微風店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
84,臺北市,貳樓-台北微風店,黃金優選大豆沙拉油-18L,20270415,20270415,
84,臺北市,貳樓-台北微風店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
85,臺北市,貳樓-師大店,油炸專用油-18L,2027.05.28,2027/5/28,
85,臺北市,貳樓-師大店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
85,臺北市,貳樓-師大店,油炸專用油-18L,20270417,20270417,延續前一列品項的批號/日期
85,臺北市,貳樓-師大店,黃金優選大豆沙拉油-18L,20270415,20270415,
86,臺北市,貳樓-微風南山店,油炸專用油-18L,2027.05.28,2027/5/28,
86,臺北市,貳樓-微風南山店,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
86,臺北市,貳樓-微風南山店,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
86,臺北市,貳樓-微風南山店,黃金優選大豆沙拉油-18L,20270415,20270415,
86,臺北市,貳樓-微風南山店,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
87,臺北市,貳樓餐飲-央廚,油炸專用油-18L,2027.05.28,2027/5/28,
87,臺北市,貳樓餐飲-央廚,油炸專用油-18L,20270414,20270414,延續前一列品項的批號/日期
87,臺北市,貳樓餐飲-央廚,油炸專用油-18L,20270421,20270421,延續前一列品項的批號/日期
87,臺北市,貳樓餐飲-央廚,黃金優選大豆沙拉油-18L,20270415,20270415,
87,臺北市,貳樓餐飲-央廚,黃金優選大豆沙拉油-18L,20270420,20270420,延續前一列品項的批號/日期
88,臺北市,隆欣雜糧行(李O憲),沙拉油 18Ｌ(福壽),C2160426O,2027.04.15,
89,臺北市,雅食小吃店,沙拉油 １８Ｌ,C2220526O,2027/05/21,
89,臺北市,雅食小吃店,福壽大豆沙拉油-18L,C2230426O,20270422,
90,臺北市,雅培米堤食品有限公司,沙拉油 18Ｌ(福壽),C2210426O,2027.04.20,
90,臺北市,雅培米堤食品有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,
90,臺北市,雅培米堤食品有限公司,福壽大豆沙拉油-18L,C2210426O,20270420,
91,臺北市,勤穩貿易有限公司,沙拉油 18Ｌ(福壽),C2150426O,2027.04.15,
91,臺北市,勤穩貿易有限公司,沙拉油 １８ｋｇ,C2220526P,2027/05/21,
91,臺北市,勤穩貿易有限公司,福壽大豆沙拉油-18L,C2150426O,20270414,
91,臺北市,勤穩貿易有限公司,福壽大豆沙拉油-18L,C2150526O,20270514,延續前一列品項的批號/日期
91,臺北市,勤穩貿易有限公司,福壽大豆沙拉油-18L(A),C2220426O,20270421,
